 Enter the number of points on the cylinder
 Enter the number of points on the boundary (divisible by 6)
 Enter the number of points in the interior
 Enter the number of neighbours for each point
 coefficients calculated
              x              y              u              v              p
  0.1410256E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.2204043E+01
  0.1666667E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1731828E+01
  0.1923077E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1559108E+01
  0.2179487E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1379235E+01
  0.2435897E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1286113E+01
  0.2692308E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1241542E+01
  0.2948718E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1198946E+01
  0.3205128E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1163842E+01
  0.3461538E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1131546E+01
  0.3717949E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1136149E+01
  0.3974359E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1147333E+01
  0.4230769E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1157089E+01
  0.4487179E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1165806E+01
  0.4743590E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1172869E+01
  0.5000000E+01 -0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1174937E+01
 -0.5000000E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6480060E+01
 -0.4743590E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6478297E+01
 -0.4487179E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6469815E+01
 -0.4230769E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6464599E+01
 -0.3974359E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6484998E+01
 -0.3717949E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6459602E+01
 -0.3461538E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6459892E+01
 -0.3205128E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6446023E+01
 -0.2948718E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6486377E+01
 -0.2692308E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6643863E+01
 -0.2435897E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6756867E+01
 -0.2179487E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6931193E+01
 -0.1923077E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6690203E+01
 -0.1666667E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6459546E+01
 -0.1410256E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.6217788E+01
 -0.1153846E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.5946412E+01
 -0.8974359E+00  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.5577202E+01
 -0.6410256E+00  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.5035803E+01
 -0.3846154E+00  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.4702892E+01
 -0.1282051E+00  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.3826559E+01
  0.1282051E+00  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.3443103E+01
  0.3846154E+00  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.2788357E+01
  0.6410256E+00  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.2599146E+01
  0.8974359E+00  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.2158896E+01
  0.1153846E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1920395E+01
  0.1410256E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1710378E+01
  0.1666667E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1506541E+01
  0.1923077E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1380581E+01
  0.2179487E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1193624E+01
  0.2435897E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1152021E+01
  0.2692308E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1113516E+01
  0.2948718E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1083675E+01
  0.3205128E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1099974E+01
  0.3461538E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1110024E+01
  0.3717949E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1099162E+01
  0.3974359E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1105708E+01
  0.4230769E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1113525E+01
  0.4487179E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1122336E+01
  0.4743590E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1127643E+01
  0.5000000E+01  0.2500000E+01  0.1000000E+01  0.0000000E+00  0.1129698E+01
 -0.5000000E+01 -0.2261905E+01  0.1000000E+01  0.0000000E+00  0.6072662E+01
 -0.5000000E+01 -0.2023810E+01  0.1000000E+01  0.0000000E+00  0.6054462E+01
 -0.5000000E+01 -0.1785714E+01  0.1000000E+01  0.0000000E+00  0.6043051E+01
 -0.5000000E+01 -0.1547619E+01  0.1000000E+01  0.0000000E+00  0.6041957E+01
 -0.5000000E+01 -0.1309524E+01  0.1000000E+01  0.0000000E+00  0.6065590E+01
 -0.5000000E+01 -0.1071429E+01  0.1000000E+01  0.0000000E+00  0.6097710E+01
 -0.5000000E+01 -0.8333333E+00  0.1000000E+01  0.0000000E+00  0.6139626E+01
 -0.5000000E+01 -0.5952381E+00  0.1000000E+01  0.0000000E+00  0.6200856E+01
 -0.5000000E+01 -0.3571429E+00  0.1000000E+01  0.0000000E+00  0.6289734E+01
 -0.5000000E+01 -0.1190476E+00  0.1000000E+01  0.0000000E+00  0.6390915E+01
 -0.5000000E+01  0.1190476E+00  0.1000000E+01  0.0000000E+00  0.6454893E+01
 -0.5000000E+01  0.3571429E+00  0.1000000E+01  0.0000000E+00  0.6485896E+01
 -0.5000000E+01  0.5952381E+00  0.1000000E+01  0.0000000E+00  0.6512148E+01
 -0.5000000E+01  0.8333333E+00  0.1000000E+01  0.0000000E+00  0.6534949E+01
 -0.5000000E+01  0.1071429E+01  0.1000000E+01  0.0000000E+00  0.6543747E+01
 -0.5000000E+01  0.1309524E+01  0.1000000E+01  0.0000000E+00  0.6540317E+01
 -0.5000000E+01  0.1547619E+01  0.1000000E+01  0.0000000E+00  0.6523300E+01
 -0.5000000E+01  0.1785714E+01  0.1000000E+01  0.0000000E+00  0.6503996E+01
 -0.5000000E+01  0.2023810E+01  0.1000000E+01  0.0000000E+00  0.6489669E+01
 -0.5000000E+01  0.2261905E+01  0.1000000E+01  0.0000000E+00  0.6482847E+01
  0.5000000E+01 -0.2261905E+01  0.1000000E+01  0.0000000E+00  0.1182630E+01
  0.5000000E+01 -0.2023810E+01  0.1000000E+01  0.0000000E+00  0.1195632E+01
  0.5000000E+01 -0.1785714E+01  0.1000000E+01  0.0000000E+00  0.1205523E+01
  0.5000000E+01 -0.1547619E+01  0.1000000E+01  0.0000000E+00  0.1206470E+01
  0.5000000E+01 -0.1309524E+01  0.1000000E+01  0.0000000E+00  0.1197890E+01
  0.5000000E+01 -0.1071429E+01  0.1000000E+01  0.0000000E+00  0.1176920E+01
  0.5000000E+01 -0.8333333E+00  0.1000000E+01  0.0000000E+00  0.1151311E+01
  0.5000000E+01 -0.5952381E+00  0.1000000E+01  0.0000000E+00  0.1123748E+01
  0.5000000E+01 -0.3571429E+00  0.1000000E+01  0.0000000E+00  0.1089134E+01
  0.5000000E+01 -0.1190476E+00  0.1000000E+01  0.0000000E+00  0.1063783E+01
  0.5000000E+01  0.1190476E+00  0.1000000E+01  0.0000000E+00  0.1079041E+01
  0.5000000E+01  0.3571429E+00  0.1000000E+01  0.0000000E+00  0.1099904E+01
  0.5000000E+01  0.5952381E+00  0.1000000E+01  0.0000000E+00  0.1107219E+01
  0.5000000E+01  0.8333333E+00  0.1000000E+01  0.0000000E+00  0.1105990E+01
  0.5000000E+01  0.1071429E+01  0.1000000E+01  0.0000000E+00  0.1116335E+01
  0.5000000E+01  0.1309524E+01  0.1000000E+01  0.0000000E+00  0.1133859E+01
  0.5000000E+01  0.1547619E+01  0.1000000E+01  0.0000000E+00  0.1139211E+01
  0.5000000E+01  0.1785714E+01  0.1000000E+01  0.0000000E+00  0.1138864E+01
  0.5000000E+01  0.2023810E+01  0.1000000E+01  0.0000000E+00  0.1135006E+01
  0.5000000E+01  0.2261905E+01  0.1000000E+01  0.0000000E+00  0.1132825E+01
 -0.2892374E+00 -0.1913276E+01  0.1485065E+01 -0.2824358E-01  0.4259685E+01
