!  N_interior   N_neighbours     Drag
400 9 -0.630
400 16 -0.497
400 25 0.664
400 36 -0.251
800 9 0.413
800 16 2.509
800 25 4.433
800 36 1.655
1600 9 4.174
1600 16 7.181
1600 25 14.278
1600 36 12.835
3200 9 3.171
3200 16 15.284
3200 25 15.396
3200 36 16.069
4800 9 9.598
4800 16 15.082
4800 25 16.330
4800 36 16.353
6400 9 12.233
6400 16 15.453
6400 25 16.380
6400 36 16.518
9600 9 11.456
9600 16 16.435
9600 25 16.531
9600 36 16.525
12800 9 12.985
12800 16 16.268
12800 25 16.525
12800 36 16.531
